factor,df,F,PR(>F)
Cantidad de agua (mL),2.0,267.45618050013223,0.0004164996066885428
Temperatura de agitación en parrilla (°C),2.0,12.69838393846813,0.0008764284077171706
Tiempo de Vórtice (min),2.0,8.712261769470903,0.002257960741905364
Tiempo en baño caliente (min),2.0,8.56146911249547,0.004894139479806131
Tiempo de agitación en parrilla (min),4.0,5.701651322770254,0.009799632298923965
Tiempo de Baño Ultrasónico (min),8.0,3.6895931795421966,0.015995393590911976
Aceite esencial de manzanilla (%),2.0,5.103700437820002,0.01836436259992068
Extracto de manzanilla,2.0,4.440166819690763,0.027073266100636872
Temp. Baño ultrasonico,2.0,1.3054080641406938,0.2942951539379379
Revoluciones de agitación,4.0,1.0291077339122736,0.4483130256504251
Temp. Baño caliente.,1.0,0.0653324042926916,0.8047072294359559
